Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;1 000
102 jaar;1 000;2 000
101 jaar;1 000;3 000
100 jaar;2 000;5 000
99 jaar;4 000;7 000
98 jaar;5 000;10 000
97 jaar;8 000;14 000
96 jaar;11 000;20 000
95 jaar;16 000;26 000
94 jaar;20 000;33 000
93 jaar;25 000;39 000
92 jaar;31 000;46 000
91 jaar;37 000;54 000
90 jaar;46 000;64 000
89 jaar;51 000;70 000
88 jaar;56 000;73 000
87 jaar;58 000;76 000
86 jaar;59 000;75 000
85 jaar;62 000;76 000
84 jaar;63 000;77 000
83 jaar;67 000;79 000
82 jaar;69 000;82 000
81 jaar;73 000;85 000
80 jaar;76 000;87 000
79 jaar;81 000;92 000
78 jaar;82 000;93 000
77 jaar;83 000;92 000
76 jaar;84 000;94 000
75 jaar;89 000;97 000
74 jaar;92 000;100 000
73 jaar;96 000;104 000
72 jaar;99 000;106 000
71 jaar;101 000;107 000
70 jaar;103 000;110 000
69 jaar;109 000;114 000
68 jaar;111 000;116 000
67 jaar;112 000;116 000
66 jaar;113 000;117 000
65 jaar;116 000;118 000
64 jaar;115 000;117 000
63 jaar;117 000;118 000
62 jaar;118 000;120 000
61 jaar;123 000;124 000
60 jaar;126 000;125 000
59 jaar;129 000;129 000
58 jaar;128 000;128 000
57 jaar;129 000;128 000
56 jaar;129 000;128 000
55 jaar;127 000;126 000
54 jaar;125 000;124 000
53 jaar;125 000;123 000
52 jaar;124 000;123 000
51 jaar;127 000;124 000
50 jaar;127 000;125 000
49 jaar;127 000;125 000
48 jaar;126 000;123 000
47 jaar;125 000;122 000
46 jaar;124 000;120 000
45 jaar;126 000;122 000
44 jaar;125 000;120 000
43 jaar;126 000;121 000
42 jaar;125 000;119 000
41 jaar;124 000;119 000
40 jaar;125 000;119 000
39 jaar;125 000;119 000
38 jaar;130 000;123 000
37 jaar;124 000;118 000
36 jaar;123 000;116 000
35 jaar;123 000;116 000
34 jaar;123 000;116 000
33 jaar;123 000;116 000
32 jaar;124 000;117 000
31 jaar;124 000;117 000
30 jaar;125 000;118 000
29 jaar;126 000;119 000
28 jaar;126 000;120 000
27 jaar;126 000;120 000
26 jaar;125 000;120 000
25 jaar;125 000;120 000
24 jaar;124 000;120 000
23 jaar;123 000;119 000
22 jaar;122 000;119 000
21 jaar;120 000;118 000
20 jaar;118 000;116 000
19 jaar;115 000;112 000
18 jaar;111 000;107 000
17 jaar;108 000;103 000
16 jaar;107 000;102 000
15 jaar;105 000;101 000
14 jaar;105 000;100 000
13 jaar;104 000;99 000
12 jaar;103 000;98 000
11 jaar;102 000;98 000
10 jaar;101 000;97 000
9 jaar;101 000;96 000
8 jaar;100 000;96 000
7 jaar;100 000;95 000
6 jaar;99 000;95 000
5 jaar;99 000;95 000
4 jaar;99 000;94 000
3 jaar;99 000;94 000
2 jaar;99 000;94 000
1 jaar;99 000;94 000
0 jaar;99 000;95 000
